node1	node2	edge_score	
DB01032	SLC22A12	1.0	
DB01032	PANX1	1.0	
DB01032	UGT1A1	1.0	
DB01032	SLC10A1	1.0	
DB01032	SLCO1C1	1.0	
DB01032	TAS2R16	1.0	
DB01032	SLCO1A2	1.0	
DB01032	CYP3A4	1.0	
DB01032	ABCC11	1.0	
DB01032	CYP2C8	1.0	
DB01032	SLC16A1	1.0	
DB01032	ALB	1.0	
DB01032	SLC16A7	1.0	
DB01032	SLC22A11	1.0	
DB01032	SLC22A5	1.0	
DB01032	SLC22A6	1.0	
DB01032	CYP2C19	1.0	
DB01032	SLC22A1	1.0	
DB01032	SLC22A2	1.0	
DB01032	ABCC4	1.0	
DB01032	ABCC5	1.0	
DB01032	ABCC6	1.0	
DB01032	SLC22A8	1.0	
DB01032	ABCC1	1.0	
DB01032	ABCC2	1.0	
DB01032	ABCC3	1.0	

