node1	node2	edge_score	
DB01238	ALB	1.0	
DB01238	CYP2D6	1.0	
DB01238	ADRA2A	1.0	
DB01238	ADRA2B	1.0	
DB01238	ADRA2C	1.0	
DB01238	HTR2A	1.0	
DB01238	HTR2C	1.0	
DB01238	HRH1	1.0	
DB01238	CHRM4	1.0	
DB01238	CHRM3	1.0	
DB01238	CHRM2	1.0	
DB01238	CHRM1	1.0	
DB01238	HTR6	1.0	
DB01238	HTR7	1.0	
DB01238	CYP3A4	1.0	
DB01238	CYP3A5	1.0	
DB01238	ADRA1A	1.0	
DB01238	ADRA1B	1.0	
DB01238	DRD4	1.0	
DB01238	DRD5	1.0	
DB01238	DRD2	1.0	
DB01238	DRD3	1.0	
DB01238	DRD1	1.0	
DB01238	HTR3A	1.0	
DB01238	HTR1D	1.0	
DB01238	HTR1E	1.0	
DB01238	HTR1A	1.0	
DB01238	HTR1B	1.0	

