node1	node2	edge_score	
DB00939	PTGS2	1.0	
DB00939	PTGS1	1.0	
DB00939	SERPINA7	1.0	
DB00939	ALOX5	1.0	
DB00939	KCNQ2	1.0	
DB00939	KCNQ3	1.0	
DB00939	SLC22A6	1.0	
DB00939	SLCO1C1	1.0	
PTGS2	rs12042763	0.99
PTGS2	rs5275	0.99
PTGS2	rs4648287	0.99
PTGS1	rs10306135	0.99
PTGS1		1.0
PTGS2	rs20417	0.99
PTGS1	rs1330344	0.99
ALOX5		1.0
PTGS2		1.0
SLCO1C1		1.0
PTGS1	rs10306114	0.99
Colonic Polyps	ALOX5	1.0	
Colonic Polyps	PTGS1	1.0	
Colonic Polyps	PTGS2	1.0	
Idiopathic Inflammatory Myopathies	ALOX5	1.0	
Idiopathic Inflammatory Myopathies	PTGS1	1.0	
Idiopathic Inflammatory Myopathies	PTGS2	1.0	
Colorectal polyposis	ALOX5	1.0	
Colorectal polyposis	PTGS1	1.0	
Colorectal polyposis	PTGS2	1.0	
Adult type dermatomyositis	ALOX5	1.0	
Adult type dermatomyositis	PTGS1	1.0	
Adult type dermatomyositis	PTGS2	1.0	
Polymyositis	ALOX5	1.0	
Polymyositis	PTGS1	1.0	
Polymyositis	PTGS2	1.0	
Dermatomyositis	ALOX5	1.0	
Dermatomyositis	PTGS1	1.0	
Dermatomyositis	PTGS2	1.0	
gastritis h pylori	PTGS1	1.0	
gastritis h pylori	PTGS2	1.0	
Myositis	ALOX5	1.0	
Myositis	PTGS1	1.0	
Myositis	PTGS2	1.0	
Creutzfeldt-Jakob Disease, Sporadic	PTGS1	1.0	
Creutzfeldt-Jakob Disease, Sporadic	PTGS2	1.0	
keratoacanthoma	PTGS1	1.0	
keratoacanthoma	PTGS2	1.0	
Rotavirus Infections	PTGS1	1.0	
Rotavirus Infections	PTGS2	1.0	
Anaphylactic shock NOS	PTGS1	1.0	
Anaphylactic shock NOS	PTGS2	1.0	
Hyperalgesia	ALOX5	1.0	
Hyperalgesia	PTGS1	1.0	
Hyperalgesia	PTGS2	1.0	
Stomach Diseases	PTGS1	1.0	
Stomach Diseases	PTGS2	1.0	
Renovascular hypertension	PTGS1	1.0	
Renovascular hypertension	PTGS2	1.0	
Pleuritis	ALOX5	1.0	
Pleuritis	PTGS2	1.0	
Neuritis	PTGS1	1.0	
Neuritis	PTGS2	1.0	
Cervical Adenocarcinoma	PTGS1	1.0	
Cervical Adenocarcinoma	PTGS2	1.0	
Dyspepsia	PTGS1	1.0	
Dyspepsia	PTGS2	1.0	
Medullary carcinoma	PTGS1	1.0	
Medullary carcinoma	PTGS2	1.0	
Esophagitis	PTGS1	1.0	
Esophagitis	PTGS2	1.0	
Cytochrome-c oxidase deficiency	PTGS1	1.0	
Cytochrome-c oxidase deficiency	PTGS2	1.0	
gliosarcoma	PTGS1	1.0	
gliosarcoma	PTGS2	1.0	
Malignant gastrointestinal tract tumors	ALOX5	1.0	
Malignant gastrointestinal tract tumors	PTGS1	1.0	
Malignant gastrointestinal tract tumors	PTGS2	1.0	
Adenoma of large intestine	ALOX5	1.0	
Adenoma of large intestine	PTGS1	1.0	
Adenoma of large intestine	PTGS2	1.0	
Adenomatous Polyps	ALOX5	1.0	
Adenomatous Polyps	PTGS2	1.0	
Peutz-Jeghers syndrome	PTGS1	1.0	
Peutz-Jeghers syndrome	PTGS2	1.0	
Pulmonary edema	ALOX5	1.0	
Pulmonary edema	PTGS2	1.0	
Duodenal Ulcer	PTGS1	1.0	
Duodenal Ulcer	PTGS2	1.0	
polyps	ALOX5	1.0	
polyps	PTGS1	1.0	
polyps	PTGS2	1.0	
Rectal Carcinoma	ALOX5	1.0	
Rectal Carcinoma	PTGS1	1.0	
Rectal Carcinoma	PTGS2	1.0	
Intestinal polyp	PTGS1	1.0	
Intestinal polyp	PTGS2	1.0	
Reperfusion Injury	ALOX5	1.0	
Reperfusion Injury	PTGS1	1.0	
Reperfusion Injury	PTGS2	1.0	
Periodontitis, Juvenile	ALOX5	1.0	
Periodontitis, Juvenile	PTGS2	1.0	
Urinary tract infection	PTGS1	1.0	
Urinary tract infection	PTGS2	1.0	
Acute Coronary Syndrome	ALOX5	1.0	
Acute Coronary Syndrome	PTGS1	1.0	
Acute Coronary Syndrome	PTGS2	1.0	
Creutzfeldt-Jakob Syndrome	PTGS1	1.0	
Creutzfeldt-Jakob Syndrome	PTGS2	1.0	
Endotoxemia	ALOX5	1.0	
Endotoxemia	PTGS2	1.0	
Hyperplastic Polyp	PTGS1	1.0	
Hyperplastic Polyp	PTGS2	1.0	
Pulmonary hypertension, neonatal, susceptibility to	ALOX5	1.0	
Pulmonary hypertension, neonatal, susceptibility to	PTGS1	1.0	
Pulmonary hypertension, neonatal, susceptibility to	PTGS2	1.0	
Ischemic Cerebrovascular Accident	ALOX5	1.0	
Ischemic Cerebrovascular Accident	PTGS1	1.0	
Ischemic Cerebrovascular Accident	PTGS2	1.0	
Intraocular pressure disorder	PTGS1	1.0	
Intraocular pressure disorder	PTGS2	1.0	
Hamartoma	PTGS1	1.0	
Hamartoma	PTGS2	1.0	
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	ALOX5	1.0	
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	PTGS2	1.0	
Helicobacter Infections	PTGS1	1.0	
Helicobacter Infections	PTGS2	1.0	
Portal hypertension, noncirrhotic	ALOX5	1.0	
Portal hypertension, noncirrhotic	PTGS2	1.0	
Ovarian cyst	PTGS1	1.0	
Ovarian cyst	PTGS2	1.0	
Gastric ulcer	PTGS1	1.0	
Gastric ulcer	PTGS2	1.0	
Experimental Autoimmune Encephalomyelitis	ALOX5	1.0	
Experimental Autoimmune Encephalomyelitis	PTGS1	1.0	
Experimental Autoimmune Encephalomyelitis	PTGS2	1.0	
Peptic ulcer	PTGS1	1.0	
Peptic ulcer	PTGS2	1.0	
Urticaria	ALOX5	1.0	
Urticaria	PTGS2	1.0	
Ischemic stroke	ALOX5	1.0	
Ischemic stroke	PTGS1	1.0	
Ischemic stroke	PTGS2	1.0	
Musculoskeletal Diseases	PTGS1	1.0	
Musculoskeletal Diseases	PTGS2	1.0	
Brain Ischemia	ALOX5	1.0	
Brain Ischemia	PTGS1	1.0	
Brain Ischemia	PTGS2	1.0	
Pregnancy Complications, Hematologic	PTGS1	1.0	
Pregnancy Complications, Hematologic	PTGS2	1.0	
Acute promyelocytic leukemia	ALOX5	1.0	
Acute promyelocytic leukemia	PTGS1	1.0	
Acute promyelocytic leukemia	PTGS2	1.0	
Lyme Disease	PTGS1	1.0	
Lyme Disease	PTGS2	1.0	
Arthropathy	PTGS1	1.0	
Arthropathy	PTGS2	1.0	
Polycystic kidney disease, autosomal dominant	PTGS1	1.0	
Polycystic kidney disease, autosomal dominant	PTGS2	1.0	
{Aneurysm, familial abdominal 3} (2)	ALOX5	1.0	
{Aneurysm, familial abdominal 3} (2)	PTGS2	1.0	
Fetal Diseases	PTGS1	1.0	
Fetal Diseases	PTGS2	1.0	
Ureteral obstruction	PTGS1	1.0	
Ureteral obstruction	PTGS2	1.0	
Pneumonia	ALOX5	1.0	
Pneumonia	PTGS1	1.0	
Pneumonia	PTGS2	1.0	
Thrombosis	PTGS1	1.0	
Thrombosis	PTGS2	1.0	
Obstructive sleep apnea	ALOX5	1.0	
Obstructive sleep apnea	PTGS1	1.0	
Bronchial Hyperreactivity	ALOX5	1.0	
Bronchial Hyperreactivity	PTGS1	1.0	
Drug Eruptions	ALOX5	1.0	
Flushing	PTGS1	1.0	
Primary open angle glaucoma juvenile onset 1	PTGS1	1.0	
Primary open angle glaucoma juvenile onset 1	PTGS2	1.0	
Tuberculosis, Meningeal	ALOX5	1.0	
Cardiovascular morbidity	PTGS1	1.0	
Eclampsia	PTGS1	1.0	
Eclampsia	PTGS2	1.0	
Echinococcosis	PTGS1	1.0	
Squamous cell carcinoma of the hypopharynx	PTGS2	1.0	
Early gastric cancer	PTGS2	1.0	
Malignant neoplasm of vulva	PTGS2	1.0	
Depressive Disorder	PTGS1	1.0	
Depressive Disorder	PTGS2	1.0	
Depressive Disorder	SLCO1C1	1.0	
Carotid Artery Diseases	ALOX5	1.0	
Carotid Artery Diseases	PTGS2	1.0	
Aortic Aneurysm, Abdominal	ALOX5	1.0	
Aortic Aneurysm, Abdominal	PTGS2	1.0	
Bladder neck obstruction	PTGS2	1.0	
Aortic atherosclerosis	PTGS2	1.0	
Squamous Cell Neoplasms	PTGS2	1.0	
{Unipolar depression, susceptibility to}, 608516 (3)	PTGS1	1.0	
{Unipolar depression, susceptibility to}, 608516 (3)	PTGS2	1.0	
{Unipolar depression, susceptibility to}, 608516 (3)	SLCO1C1	1.0	
