node1	node2	edge_score	
DB00458	SLC6A3	1.0	
DB00458	SLC6A2	1.0	
DB00458	SLC6A4	1.0	
DB00458	DRD2	1.0	
DB00458	CYP2D6	1.0	
DB00458	CYP2B6	1.0	
DB00458	ABCB1	1.0	
DB00458	HTR2A	1.0	
DB00458	HTR2C	1.0	
DB00458	HRH1	1.0	
DB00458	KCND3	1.0	
DB00458	KCND2	1.0	
DB00458	CHRM4	1.0	
DB00458	CHRM3	1.0	
DB00458	CHRM2	1.0	
DB00458	CHRM1	1.0	
DB00458	HTR6	1.0	
DB00458	HTR7	1.0	
DB00458	CYP3A4	1.0	
DB00458	ORM1	1.0	
DB00458	ADRA1A	1.0	
DB00458	CYP1A2	1.0	
DB00458	ADRA1B	1.0	
DB00458	KCNH1	1.0	
DB00458	ADRA1D	1.0	
DB00458	ORM2	1.0	
DB00458	KCNH2	1.0	
DB00458	ALB	1.0	
DB00458	CYP2E1	1.0	
DB00458	SLC22A4	1.0	
DB00458	CYP2C19	1.0	
DB00458	CYP2C18	1.0	
DB00458	SLC22A2	1.0	
DB00458	SLC22A3	1.0	
DB00458	HTR1A	1.0	

