rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
150	Squamous Cell Neoplasms	C0206720	1	29	5.0065109443941935e-05	0.000208913649025	PTGS2
151	Aortic valve calcification	C0428791	1	30	5.363080417897237e-05	0.000210306406685	PTGS2
152	Thymic Carcinoma	C1322286	1	30	5.363080417897237e-05	0.000211699164345	PTGS2
153	Endothelial dysfunction	C0856169	2	216	5.730870397357979e-05	0.000213091922006	PTGS1,PTGS2
154	Anterior myocardial infarction	C0340293	1	33	6.505888095165169e-05	0.000214484679666	PTGS2
155	Prostatitis	C0497496	1	33	6.505888095165169e-05	0.000215877437326	PTGS2
156	Enzyme inhibition disorder	C0877008	1	33	6.505888095165169e-05	0.000217270194986	PTGS2
157	Mucinous Neoplasm	C1334811	1	33	6.505888095165169e-05	0.000218662952646	PTGS2
158	Lupus Nephritis	C0024143	2	226	6.555993781942604e-05	0.000220055710306	PTGS1,PTGS2
159	Pericardial effusion	C0031039	1	34	6.911165445966372e-05	0.000221448467967	PTGS2
160	Streptococcal pneumonia	C0155862	1	34	6.911165445966372e-05	0.000222841225627	PTGS2
161	Hepatic encephalopathy	C0019151	1	35	7.328605057499438e-05	0.000224233983287	PTGS1
162	Rhinitis, Allergic, Perennial	C0035457	1	35	7.328605057499438e-05	0.000225626740947	PTGS2
163	Osteoarthritis of distal interphalangeal joint	C0409957	1	35	7.328605057499438e-05	0.000227019498607	PTGS2
164	Nasal polyposis	C0027430	2	236	7.45556655740165e-05	0.000228412256267	PTGS1,PTGS2
165	Gastritis	C0017152	2	237	7.54973543443116e-05	0.000229805013928	PTGS1,PTGS2
166	Dermal atrophy	C0151514	2	237	7.54973543443116e-05	0.000231197771588	PTGS1,PTGS2
167	Peptic Ulcer Hemorrhage	C0041582	1	36	7.758197107710085e-05	0.000232590529248	PTGS1
168	Invasive Lobular Breast Carcinoma	C0279565	1	36	7.758197107710085e-05	0.000233983286908	PTGS2
169	Sudden death	C0011071	1	37	8.199939989705918e-05	0.000235376044568	PTGS2
170	Acute postoperative pain	C0030201	1	37	8.199939989705918e-05	0.000236768802228	PTGS2
171	Salmonella infections	C0036117	1	37	8.199939989705918e-05	0.000238161559889	PTGS2
172	Sclerosis	C0036429	1	37	8.199939989705918e-05	0.000239554317549	PTGS2
173	Osteoarthritis of the hand	C0263746	1	37	8.199939989705918e-05	0.000240947075209	PTGS2
174	Simple pneumoconiosis	C0032273	1	38	8.653814902703783e-05	0.000242339832869	PTGS2
175	Ovarian hyperstimulation syndrome	C0085083	1	38	8.653814902703783e-05	0.000243732590529	PTGS2
176	Xeroderma pigmentosum, group A	C0268135	1	38	8.653814902703783e-05	0.000245125348189	PTGS2
177	Malignant gastrointestinal tract tumors	C0685938	2	251	8.951076479368769e-05	0.00024651810585	PTGS1,PTGS2
178	Purpura, Thrombotic Thrombocytopenic	C0034155	1	39	9.119820476088947e-05	0.00024791086351	PTGS2
179	Prostate cancer stage C	C0280280	1	39	9.119820476088947e-05	0.00024930362117	PTGS2
180	Diffuse Astrocytoma	C0280785	1	39	9.119820476088947e-05	0.00025069637883	PTGS2
181	Juvenile polyposis syndrome	C0345893	1	39	9.119820476088947e-05	0.00025208913649	PTGS2
182	Gastro-esophageal reflux disease with esophagitis	C0677659	1	39	9.119820476088947e-05	0.00025348189415	PTGS2
183	Cerebral aneurysm	C0917996	1	39	9.119820476088947e-05	0.000254874651811	PTGS2
184	Gastric Cardia Adenocarcinoma	C1333762	1	39	9.119820476088947e-05	0.000256267409471	PTGS2
185	Netherton syndrome	C0265962	1	40	9.597949397144312e-05	0.000257660167131	PTGS2
186	Intestinal Cancer	C0346627	1	40	9.597949397144312e-05	0.000259052924791	PTGS2
187	Neuropathogenesis	C1518296	1	40	9.597949397144312e-05	0.000260445682451	PTGS2
188	Adenoma of large intestine	C1302401	2	257	9.600334904324992e-05	0.000261838440111	PTGS1,PTGS2
189	Bronchogenic Carcinoma	C0007121	1	41	0.0001008820307765168	0.000263231197772	PTGS2
190	Neoplasm of the tongue	C0040411	1	41	0.0001008820307765168	0.000264623955432	PTGS2
191	Experimental Organism Basal Cell Carcinoma	C3811653	2	264	0.00010395929030193596	0.000266016713092	PTGS1,PTGS2
192	Displacement of intervertebral disc	C0021818	1	42	0.00010590557092893249	0.000267409470752	PTGS2
193	Primary Sj�gren's syndrome	C0205225	1	42	0.00010590557092893249	0.000268802228412	PTGS1
194	Chemical Carcinogenesis	C0596321	1	42	0.00010590557092893249	0.000270194986072	PTGS2
195	Dryness of eye	C0314719	1	43	0.00011105021506507828	0.000271587743733	PTGS2
196	AIDS Dementia Complex	C0001849	1	44	0.00011631577408433014	0.000272980501393	PTGS2
197	Monocytic leukemia	C0598894	1	44	0.00011631577408433014	0.000274373259053	PTGS2
198	Thromboangiitis Obliterans	C0040021	1	45	0.00012170223540242109	0.000275766016713	PTGS2
199	Drug usage	C0242510	1	45	0.00012170223540242109	0.000277158774373	PTGS2
200	Dry Eye Syndromes	C0013238	1	46	0.00012720943961064268	0.000278551532033	PTGS2
201	Chronic Fatigue Syndrome	C0015674	1	46	0.00012720943961064268	0.000279944289694	PTGS2
202	CARCINOMA OF VULVA	C0677055	1	46	0.00012720943961064268	0.000281337047354	PTGS2
203	polyps	C0032584	2	284	0.00012904016997627998	0.000282729805014	PTGS1,PTGS2
204	Rectal Carcinoma	C0149978	2	286	0.00013174592226750104	0.000284122562674	PTGS1,PTGS2
205	Drusen	C1260959	1	47	0.00013283745710790384	0.000285515320334	PTGS2
206	Pelvic inflammatory disease	C0242172	1	48	0.00013858616155659753	0.000286908077994	PTGS2
207	Bile duct cancer resectable	C0740277	1	48	0.00013858616155659753	0.000288300835655	PTGS2
208	Poorly differentiated carcinoma	C0741899	1	48	0.00013858616155659753	0.000289693593315	PTGS2
209	Friedreich's ataxia	C0016719	1	49	0.0001444555074693321	0.000291086350975	PTGS2
210	Pleuritis	C0032231	1	49	0.0001444555074693321	0.000292479108635	PTGS2
211	Helicobacter pylori infection	C0850666	2	297	0.00014729246954292563	0.000293871866295	PTGS1,PTGS2
212	Arthritis, Reactive	C0085435	1	50	0.000150445279389122	0.000295264623955	PTGS2
213	Idiopathic fibrosing alveolitis, chronic form	C0085786	1	50	0.000150445279389122	0.000296657381616	PTGS2
214	Hematocrit level	C0518014	1	50	0.000150445279389122	0.000298050139276	PTGS2
215	Adenocarcinoma Of Esophagus	C0279628	2	300	0.00015173102536591987	0.000299442896936	PTGS1,PTGS2
216	Bloom syndrome	C0005859	1	51	0.00015655557724270075	0.000300835654596	PTGS2
217	Uterine Cancer	C0153567	1	51	0.00015655557724270075	0.000302228412256	PTGS2
218	Reperfusion Injury	C0035126	2	305	0.0001593212308806935	0.000303621169916	PTGS1,PTGS2
219	Lupus Vulgaris	C0024131	2	307	0.00016242543836109125	0.000305013927577	PTGS1,PTGS2
