node1	node2	edge_score	
DB00675	CYP1B1	1.0	
DB00675	CYP2D6	1.0	
DB00675	SERPINA7	1.0	
DB00675	CYP2B6	1.0	
DB00675	ABCB1	1.0	
DB00675	EBP	1.0	
DB00675	ESR1	1.0	
DB00675	FMO3	1.0	
DB00675	ESRRG	1.0	
DB00675	FMO1	1.0	
DB00675	CYP1A1	1.0	
DB00675	SULT1A1	1.0	
DB00675	CES1	1.0	
DB00675	ABCB11	1.0	
DB00675	AR	1.0	
DB00675	CYP2A6	1.0	
DB00675	CYP3A4	1.0	
DB00675	CYP3A5	1.0	
DB00675	CYP2C9	1.0	
DB00675	CYP2C8	1.0	
DB00675	ABCG2	1.0	
DB00675	ESR2	1.0	
DB00675	UGT1A10	1.0	
DB00675	KCNH2	1.0	
DB00675	CYP19A1	1.0	
DB00675	CYP2E1	1.0	
DB00675	SHBG	1.0	
DB00675	NR1I2	1.0	
DB00675	CYP2C19	1.0	
DB00675	ABCC2	1.0	

