rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
13	Phenylketonuria	C0031485	1	27	1.2061056258727554e-05	0.000139784946237	SLC7A5
14	Precursor cell lymphoblastic lymphoma	C0079748	1	44	3.246044540239357e-05	0.000150537634409	SLC7A5
15	Clear cell renal cell carcinoma	C0279702	2	368	3.451626121231399e-05	0.000161290322581	SLC1A1,SLC7A5
16	Bile duct cancer resectable	C0740277	1	48	3.86926392345055e-05	0.000172043010753	SLC7A5
17	Low Tension Glaucoma	C0152136	1	54	4.906163346829473e-05	0.000182795698925	SLC1A1
18	Cortical dysplasia, complex, with other brain malformations 3	C0431380	1	60	6.065399937571492e-05	0.000193548387097	SLC1A1
19	Cognition Disorders	C0009241	1	62	6.478961479128298e-05	0.000204301075269	SLC1A1
20	Obsessive-compulsive behavior	C0600104	1	62	6.478961479128298e-05	0.000215053763441	SLC1A1
21	Stress, Psychological	C0038443	1	63	6.690830814037874e-05	0.000225806451613	SLC1A1
22	Osteochondritis dissecans	C0029421	1	67	7.572204123940107e-05	0.000236559139785	SLC1A1
23	Malformation of cortical development	C1955869	1	68	7.801013732222639e-05	0.000247311827957	SLC1A1
24	Obsessive-compulsive disorder	C0028768	1	85	0.00012208205697950003	0.000258064516129	SLC1A1
25	Alveolar cell carcinoma	C0007120	1	86	0.00012497842248437863	0.000268817204301	SLC7A5
26	Latent autoimmune diabetes mellitus in adult	C0205734	1	90	0.00013690072372807283	0.000279569892473	SLC7A5
27	Shy-Drager syndrome	C0037019	1	98	0.00016236117021728447	0.000290322580645	SLC1A1
28	Intraocular pressure disorder	C0595921	1	102	0.0001758981995858555	0.000301075268817	SLC1A1
29	Clear-cell metastatic renal cell carcinoma	C2931852	1	108	0.00019721076727674536	0.000311827956989	SLC7A5
30	Intrahepatic Cholangiocarcinoma	C0345905	1	109	0.0002008801978687913	0.000322580645161	SLC7A5
31	Dermatitis, Allergic Contact	C0162820	1	111	0.00020831972055512793	0.000333333333333	SLC7A5
32	Anaplastic Oligodendroglioma	C0334590	1	135	0.0003080250786188232	0.000344086021505	SLC1A1
33	Hyperplasia	C0020507	1	143	0.0003455275682927583	0.000354838709677	SLC7A5
