node1	node2	edge_score	
DB00184	CHAT	1.0	
DB00184	CYP2D6	1.0	
DB00184	MAOB	1.0	
DB00184	CHRNB2	1.0	
DB00184	CYP2B6	1.0	
DB00184	CHRNB4	1.0	
DB00184	CYP1A1	1.0	
DB00184	CHRNA4	1.0	
DB00184	CHRNA5	1.0	
DB00184	CHRNA7	1.0	
DB00184	CYP2A6	1.0	
DB00184	CHRNA2	1.0	
DB00184	CHRNA3	1.0	
DB00184	CYP3A4	1.0	
DB00184	CHRNA9	1.0	
DB00184	CYP2C9	1.0	
DB00184	CYP2C8	1.0	
DB00184	CYP1A2	1.0	
DB00184	CYP19A1	1.0	
DB00184	CYP2E1	1.0	
DB00184	SLC22A4	1.0	
DB00184	SLC22A5	1.0	
DB00184	MAOA	1.0	
DB00184	CYP2C19	1.0	
DB00184	SLC22A1	1.0	
DB00184	SLC22A2	1.0	
DB00184	SLC22A3	1.0	

