node1	node2	edge_score	
DB00363	ADRA1A	1.0	
DB00363	UGT1A4	1.0	
DB00363	CYP1B1	1.0	
DB00363	CYP2D6	1.0	
DB00363	ADRA2A	1.0	
DB00363	ADRA2B	1.0	
DB00363	ADRA2C	1.0	
DB00363	ABCB1	1.0	
DB00363	HTR2A	1.0	
DB00363	HTR2C	1.0	
DB00363	HRH1	1.0	
DB00363	FMO3	1.0	
DB00363	CYP1A1	1.0	
DB00363	CHRM4	1.0	
DB00363	CHRM3	1.0	
DB00363	CHRM2	1.0	
DB00363	CHRM1	1.0	
DB00363	HTR6	1.0	
DB00363	HTR7	1.0	
DB00363	CYP2A6	1.0	
DB00363	CYP3A4	1.0	
DB00363	CYP2C9	1.0	
DB00363	CYP2C8	1.0	
DB00363	CYP1A2	1.0	
DB00363	ADRA1B	1.0	
DB00363	HRH4	1.0	
DB00363	DRD4	1.0	
DB00363	DRD2	1.0	
DB00363	DRD3	1.0	
DB00363	CYP2E1	1.0	
DB00363	DRD1	1.0	
DB00363	GSTP1	1.0	
DB00363	CALY	1.0	
DB00363	CYP2C19	1.0	
DB00363	HTR3A	1.0	
DB00363	HTR1D	1.0	
DB00363	HTR1E	1.0	
DB00363	HTR1A	1.0	
DB00363	HTR1B	1.0	

