node1	node2	edge_score	
DB00783	SLCO1B1	1.0	
DB00783	SLCO1B3	1.0	
DB00783	FABP2	1.0	
DB00783	UGT1A1	1.0	
DB00783	NCOA2	1.0	
DB00783	CYP1B1	1.0	
DB00783	ABCB1	1.0	
DB00783	SLCO4A1	1.0	
DB00783	ESRRG	1.0	
DB00783	BECN1	1.0	
DB00783	CYP1A1	1.0	
DB00783	SLCO2B1	1.0	
DB00783	ABCG2	1.0	
DB00783	CHRNA4	1.0	
DB00783	SLCO1A2	1.0	
DB00783	CYP3A4	1.0	
DB00783	CYP3A5	1.0	
DB00783	ABCC10	1.0	
DB00783	SLCO1C1	1.0	
DB00783	CYP2C9	1.0	
DB00783	CYP2C8	1.0	
DB00783	CYP1A2	1.0	
DB00783	ESR2	1.0	
DB00783	ESR1	1.0	
DB00783	ALB	1.0	
DB00783	SLC22A11	1.0	
DB00783	SHBG	1.0	
DB00783	NR1I2	1.0	
DB00783	CYP2C19	1.0	
DB00783	SLC22A1	1.0	
DB00783	SLC22A2	1.0	
DB00783	SLC22A3	1.0	
DB00783	SLC22A8	1.0	

