Gene	CUI	Source Databases	
ABCB1	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP2C19	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP3A4	C0024620	Primary malignant neoplasm of liver	DisGeNet	
CYP1A1	C0032229	Pleural Neoplasms	DisGeNet	
CYP1A2	C0032229	Pleural Neoplasms	DisGeNet	
CYP2C19	C0032229	Pleural Neoplasms	DisGeNet	
CYP1A1	C0919532	Genomic Instability	DisGeNet	
CYP1A2	C0919532	Genomic Instability	DisGeNet	
CYP2C19	C0919532	Genomic Instability	DisGeNet	
ABCB1	C0027497	Nausea	DisGeNet	
CYP1A2	C0027497	Nausea	DisGeNet	
CYP2C19	C0027497	Nausea	DisGeNet	
