node1	node2	edge_score	
DB01026	SLCO1B1	1.0	
DB01026	CYP4F2	1.0	
DB01026	UGT1A1	1.0	
DB01026	CYP11A1	1.0	
DB01026	CYP1B1	1.0	
DB01026	CYP2D6	1.0	
DB01026	CYP4F12	1.0	
DB01026	CYP2B6	1.0	
DB01026	ABCB1	1.0	
DB01026	CYP51A1	1.0	
DB01026	UGT2B7	1.0	
DB01026	CYP1A1	1.0	
DB01026	ABCB11	1.0	
DB01026	AR	1.0	
DB01026	CYP2A6	1.0	
DB01026	SLCO1A2	1.0	
DB01026	CYP3A4	1.0	
DB01026	CYP3A5	1.0	
DB01026	CYP2C9	1.0	
DB01026	CYP2C8	1.0	
DB01026	CYP1A2	1.0	
DB01026	KCNH2	1.0	
DB01026	CYP19A1	1.0	
DB01026	NR1I3	1.0	
DB01026	NR1I2	1.0	
DB01026	CYP2C19	1.0	

