rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
14	Primary hyperaldosteronism	C1384514	2	65	5.252445704484465e-06	5.14705882353e-05	KCNMA1,SLC12A3
45	Familial hypokalemia-hypomagnesemia	C0268450	1	25	8.001175486371803e-05	0.000165441176471	SLC12A3
46	Treacher Collins syndrome	C0242387	1	27	9.355682171430235e-05	0.000169117647059	SLC12A3
47	Febrile Neutropenia	C0746883	1	27	9.355682171430235e-05	0.000172794117647	TPMT
48	Bladder neck obstruction	C0005694	1	29	0.00010815089077165219	0.000176470588235	KCNMA1
49	Chondrocalcinosis	C0553730	1	29	0.00010815089077165219	0.000180147058824	SLC12A3
50	Renal tubular acidosis, distal, autosomal dominant	C0001126	1	31	0.00012379199085454928	0.000183823529412	KCNMA1
51	Metabolic Bone Disorder	C0005944	1	32	0.00013200461050977275	0.0001875	KCNMA1
52	Abnormal urine output	C3693260	1	32	0.00013200461050977275	0.000191176470588	SLC12A3
53	Hypervolemia	C0546817	1	34	0.00014921283271107644	0.000194852941176	SLC12A3
54	Germinoma	C0854912	1	34	0.00014921283271107644	0.000198529411765	SLC12A3
55	Abnormal drinking behavior	C4022657	1	34	0.00014921283271107644	0.000202205882353	SLC12A3
56	Nemaline myopathy	C0206157	1	35	0.00015820786493392358	0.000205882352941	TPMT
57	Myelosuppression	C0854467	1	35	0.00015820786493392358	0.000209558823529	TPMT
58	Abnormality of renal excretion	C4023579	1	35	0.00015820786493392358	0.000213235294118	SLC12A3
59	Complete trisomy 18 syndrome	C0152096	1	36	0.00016746323608729519	0.000216911764706	KCNMA1
60	Noonan syndrome with multiple lentigines	C0175704	1	37	0.00017697879039524356	0.000220588235294	SLC12A3
61	Alkalosis	C0002063	1	39	0.00019678899486597068	0.000224264705882	SLC12A3
62	Polyuria	C0032617	1	39	0.00019678899486597068	0.000227941176471	SLC12A3
63	Hearing Loss, Mixed Conductive-Sensorineural	C0155552	2	223	0.00020872964346096978	0.000231617647059	KCNMA1,TPMT
64	Dialeptic seizures	C4023515	1	41	0.00021763674634645014	0.000235294117647	KCNMA1
65	{TSC2 angiomyolipomas, renal, modifier of}, 613254 (3)	C0206633	1	42	0.00022844896270524107	0.000238970588235	SLC12A3
