node1	node2	edge_score	
DB00908	SLCO1B1	1.0	
DB00908	CYP2D6	1.0	
DB00908	CYP2B6	1.0	
DB00908	KCNK1	1.0	
DB00908	ABCB1	1.0	
DB00908	ADRA1A	1.0	
DB00908	CYP1A1	1.0	
DB00908	ABCB11	1.0	
DB00908	SLCO1A2	1.0	
DB00908	CYP3A4	1.0	
DB00908	ORM1	1.0	
DB00908	CYP2C9	1.0	
DB00908	CYP2C8	1.0	
DB00908	CYP1A2	1.0	
DB00908	ADRA1B	1.0	
DB00908	ADRA1D	1.0	
DB00908	KCNH2	1.0	
DB00908	CYP2E1	1.0	
DB00908	SLC22A4	1.0	
DB00908	SLC22A5	1.0	
DB00908	SLC22A1	1.0	
DB00908	SLC22A2	1.0	
DB00908	SCN5A	1.0	
DB00908	SLC22A8	1.0	
DB00908	ABCC2	1.0	

