node_name	node_type	
Neuropathy ataxia retinitis pigmentosa syndrome	phenotype	
Pelvic inflammatory disease	phenotype	
Bile duct cancer resectable	phenotype	
Poorly differentiated carcinoma	phenotype	
Insulin resistance syndrome	phenotype	
Diabetic Retinopathy	phenotype	
Acute kidney injury	phenotype	
Hepatitis B, Chronic	phenotype	
Friedreich's ataxia	phenotype	
Pleuritis	phenotype	
Arthritis, Reactive	phenotype	
Idiopathic fibrosing alveolitis, chronic form	phenotype	
Hematocrit level	phenotype	
Pancreatitis	phenotype	
Bloom syndrome	phenotype	
Nephrosis	phenotype	
Uterine Cancer	phenotype	
Peptic Esophagitis	phenotype	
Guillain-Barre syndrome, familial	phenotype	
Leukoplakia	phenotype	
Squamous intraepithelial lesion	phenotype	
polyps	phenotype	
Rectal Carcinoma	phenotype	
Primary hyperparathyroidism	phenotype	
Drug Resistant Epilepsy	phenotype	
Oncocytic Neoplasm	phenotype	
Coronary heart disease 7	phenotype	
Endometrial Hyperplasia	phenotype	
Hyperlipidemia, combined, 1	phenotype	
Helicobacter pylori infection	phenotype	
Respiratory Tract Diseases	phenotype	
Sicca Syndrome	phenotype	
Hypoalbuminemia	phenotype	
Endometriosis of uterus	phenotype	
Aicardi Goutieres syndrome 1	phenotype	
Virus Diseases	phenotype	
Adenocarcinoma Of Esophagus	phenotype	
Neurologic, endocrine, and pancreatic disease, multisystem, infantile-onset	phenotype	
Malignant Fibrous Histiocytoma	phenotype	
Dysmorphic features	phenotype	
Dementia familial British	phenotype	
Inflammatory pain	phenotype	
Oropharyngeal squamous cell carcinoma	phenotype	
Lymphangiomyomatosis	phenotype	
Lupus Vulgaris	phenotype	
Oral Submucous Fibrosis	phenotype	
Desmoid tumor	phenotype	
Carcinoma, Lobular	phenotype	
Adenocarcinoma, Endometrioid	phenotype	
Congenital hypothyroidism	phenotype	
Shigella Infections	phenotype	
Sarcoidosis, Pulmonary	phenotype	
Heart Failure	phenotype	
Xerostomia	phenotype	
Malignant neoplasm of the central nervous system	phenotype	
Ovarian adenocarcinoma	phenotype	
Pancreatic intraepithelial neoplasia	phenotype	
Discoid lupus erythematosus	phenotype	
Cognition Disorders	phenotype	
Turcot syndrome	phenotype	
Huntington's chorea	phenotype	
Systemic Inflammatory Response Syndrome	phenotype	
Breast Fibrocystic Disease	phenotype	
Ovarian Serous Adenocarcinoma	phenotype	
Early-Stage Breast Carcinoma	phenotype	
Hemolytic uremic syndrome	phenotype	
Thyroid Nodule	phenotype	
Angiogenic Switch	phenotype	
Periodontitis	phenotype	
Ulcerative colitis	phenotype	
Head and Neck Neoplasms	phenotype	
Pulmonary hypertension, neonatal, susceptibility to	phenotype	
Aqueous Humor Disorders	phenotype	
aggressive cancer	phenotype	
Ischemic Cerebrovascular Accident	phenotype	
Occupational Diseases	phenotype	
Microalbuminuria	phenotype	
Malformation of cortical development	phenotype	
Carcinoma breast stage IV	phenotype	
Chronic kidney disease	phenotype	
Malignant neoplasm of colon stage IV	phenotype	
