node1	node2	edge_score	
DB01174	GRIA2	1.0	
DB01174	CYP4B1	1.0	
DB01174	GABRA1	1.0	
DB01174	UGT1A1	1.0	
DB01174	CYP1B1	1.0	
DB01174	CYP2B6	1.0	
DB01174	ABCB1	1.0	
DB01174	UGT2B7	1.0	
DB01174	CYP1A1	1.0	
DB01174	CHRNA4	1.0	
DB01174	ABCB11	1.0	
DB01174	CHRNA7	1.0	
DB01174	CYP2A6	1.0	
DB01174	CYP3A4	1.0	
DB01174	CYP3A5	1.0	
DB01174	CYP2C9	1.0	
DB01174	CYP2C8	1.0	
DB01174	CYP1A2	1.0	
DB01174	CYP4A11	1.0	
DB01174	GRIK2	1.0	
DB01174	CYP2E1	1.0	
DB01174	NR1I2	1.0	
DB01174	CYP2C19	1.0	
DB01174	CYP2C18	1.0	
DB01174	ABCC1	1.0	
DB01174	ABCC2	1.0	
DB01174	ABCC3	1.0	

