node1	node2	edge_score	
DB13954	SLCO1B1	1.0	
DB13954	SLCO1B3	1.0	
DB13954	FABP2	1.0	
DB13954	UGT1A1	1.0	
DB13954	NCOA2	1.0	
DB13954	CYP1B1	1.0	
DB13954	ABCB1	1.0	
DB13954	SLCO4A1	1.0	
DB13954	ESRRG	1.0	
DB13954	BECN1	1.0	
DB13954	CYP1A1	1.0	
DB13954	SLCO2B1	1.0	
DB13954	ABCG2	1.0	
DB13954	CHRNA4	1.0	
DB13954	SLCO1A2	1.0	
DB13954	CYP3A4	1.0	
DB13954	CYP3A5	1.0	
DB13954	ABCC10	1.0	
DB13954	SLCO1C1	1.0	
DB13954	CYP2C9	1.0	
DB13954	CYP2C8	1.0	
DB13954	CYP1A2	1.0	
DB13954	ESR2	1.0	
DB13954	ESR1	1.0	
DB13954	ALB	1.0	
DB13954	SLC22A11	1.0	
DB13954	SHBG	1.0	
DB13954	NR1I2	1.0	
DB13954	CYP2C19	1.0	
DB13954	SLC22A1	1.0	
DB13954	SLC22A2	1.0	
DB13954	SLC22A3	1.0	
DB13954	SLC22A8	1.0	

