rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
3	Liposarcoma, Dedifferentiated	C0205824	1	28	1.3015258377713224e-06	2.80373831776e-05	HDAC1
4	Stromal sarcoma	C0206630	1	40	2.6857985961914466e-06	3.73831775701e-05	HDAC1
5	Neoplasm of the parathyroid gland	C0030521	1	59	5.891508127575662e-06	4.67289719626e-05	HDAC1
6	Right ventricular hypertrophy	C0162770	1	69	8.077999647526646e-06	5.60747663551e-05	HDAC1
7	Testicular malignant germ cell tumor	C0855197	1	96	1.5701522021571712e-05	6.54205607477e-05	HDAC1
8	Leukoencephalopathy, Progressive Multifocal	C0023524	1	101	1.7388786375360787e-05	7.47663551402e-05	HDAC1
9	Teratoma	C0039538	1	108	1.989549923175904e-05	8.41121495327e-05	HDAC1
10	Intrahepatic Cholangiocarcinoma	C0345905	1	109	2.0267369324811213e-05	9.34579439252e-05	HDAC1
11	Amyotrophic lateral sclerosis type 1	C1862939	1	171	5.0048680020009506e-05	0.000102803738318	HDAC1
12	Borderline Personality Disorder	C0006012	1	172	5.0637509599438246e-05	0.00011214953271	HDAC1
13	Allergic rhinitis	C2607914	1	174	5.182543739923329e-05	0.000121495327103	HDAC1
14	Amyotrophy involving the shoulder musculature	C0026846	1	179	5.485557666329299e-05	0.000130841121495	HDAC1
15	Embryonal Carcinoma	C0206659	1	181	5.6091713865003e-05	0.000140186915888	HDAC1
16	Melanocytic nevus	C0027962	1	185	5.860532625234782e-05	0.00014953271028	HDAC1
17	Gallbladder Carcinoma	C0235782	1	192	6.313674128377578e-05	0.000158878504673	HDAC1
18	Metastatic Prostate Carcinoma	C0936223	1	224	8.600043173068173e-05	0.000168224299065	HDAC1
19	Carcinoma, Papillary	C0007133	1	233	9.306613371262706e-05	0.000177570093458	HDAC1
20	Bronchopulmonary Dysplasia	C0006287	1	237	9.629600601646082e-05	0.00018691588785	HDAC1
21	Hypergranular promyelocytic leukemia	C2745900	1	238	9.711207085094653e-05	0.000196261682243	HDAC1
22	Malignant tumor of testis	C0153594	1	251	0.00010803425855143711	0.000205607476636	HDAC1
23	Fibrosarcoma	C0016057	1	254	0.00011063740338068673	0.000214953271028	HDAC1
24	Cutaneous T-cell lymphoma	C0079773	1	255	0.00011151203304660129	0.000224299065421	HDAC1
25	Memory impairment	C0233794	1	255	0.00011151203304660129	0.000233644859813	HDAC1
26	Endometrial Neoplasms	C0014170	1	268	0.000123195235304685	0.000242990654206	HDAC1
27	polyps	C0032584	1	284	0.00013837336439326275	0.000252336448598	HDAC1
28	Huntington's chorea	C0020179	1	320	0.00017574724814362064	0.000261682242991	HDAC1
29	Pancreatic adenocarcinoma	C0281361	1	320	0.00017574724814362064	0.000271028037383	HDAC1
30	Recurrent tumor	C0521158	1	320	0.00017574724814362064	0.000280373831776	HDAC1
31	Cancer Cell Growth	C1516170	1	320	0.00017574724814362064	0.000289719626168	HDAC1
32	Pulmonary hypertension, neonatal, susceptibility to	C0020542	1	333	0.00019034002674589434	0.000299065420561	HDAC1
33	Metastatic melanoma	C0278883	1	333	0.00019034002674589434	0.000308411214953	HDAC1
34	Hypoxia	C0003130	1	335	0.00019263673158498307	0.000317757009346	HDAC1
35	Invasive breast carcinoma	C0853879	1	369	0.00023378787596350925	0.000327102803738	HDAC1
36	Hereditary pancreatitis	C0238339	1	377	0.0002440490233224235	0.000336448598131	HDAC1
37	Intrauterine growth retardation	C0015934	1	379	0.000246648712428299	0.000345794392523	HDAC1
38	Heart Diseases	C0018799	1	386	0.0002558561785601654	0.000355140186916	HDAC1
39	Unipolar Depression	C0041696	1	406	0.0002830928372761221	0.000364485981308	HDAC1
40	Acute promyelocytic leukemia	C0023487	1	431	0.00031907557380228546	0.000373831775701	HDAC1
41	Tumor Angiogenesis	C1519670	1	443	0.0003371117356459896	0.000383177570093	HDAC1
42	Precancerous Conditions	C0032927	1	455	0.0003556437114405897	0.000392523364486	HDAC1
43	Hepatitis C, Chronic	C0524910	1	455	0.0003556437114405897	0.000401869158879	HDAC1
44	Hepatocarcinogenesis	C1512409	1	471	0.00038112427745040645	0.000411214953271	HDAC1
45	Retinoblastoma	C0035335	1	473	0.00038437138510660773	0.000420560747664	HDAC1
46	Major depressive disorder	C1269683	1	489	0.00041084360857035485	0.000429906542056	HDAC1
47	Combined Hepatocellular Carcinoma and Cholangiocarcinoma	C0221287	1	497	0.00042441031967632714	0.000439252336449	HDAC1
