node1	node2	edge_score	
DB00408	SLC6A3	1.0	
DB00408	SLC6A2	1.0	
DB00408	SLC6A4	1.0	
DB00408	ADRA2A	1.0	
DB00408	ADRA2B	1.0	
DB00408	ADRA2C	1.0	
DB00408	HRH4	1.0	
DB00408	HTR2A	1.0	
DB00408	HTR2C	1.0	
DB00408	HRH1	1.0	
DB00408	CHRM4	1.0	
DB00408	CHRM3	1.0	
DB00408	CHRM2	1.0	
DB00408	CHRM1	1.0	
DB00408	HTR6	1.0	
DB00408	HTR7	1.0	
DB00408	ADRA1A	1.0	
DB00408	ADRA1B	1.0	
DB00408	DRD4	1.0	
DB00408	DRD5	1.0	
DB00408	DRD2	1.0	
DB00408	DRD3	1.0	
DB00408	DRD1	1.0	
DB00408	ADRB1	1.0	
DB00408	HTR3A	1.0	
DB00408	HTR1D	1.0	
DB00408	HTR1E	1.0	
DB00408	HTR1A	1.0	
DB00408	HTR1B	1.0	

