node1	node2	edge_score	
DB00515	PTGS2	1.0	
DB00515	MT2A	1.0	
DB00515	NQO1	1.0	
DB00515	SLC31A1	1.0	
DB00515	SLC31A2	1.0	
DB00515	BCHE	1.0	
DB00515	ATP7A	1.0	
DB00515	A2M	1.0	
DB00515	ATP7B	1.0	
DB00515	CYP2B6	1.0	
DB00515	XDH	1.0	
DB00515	ABCB1	1.0	
DB00515	TF	1.0	
DB00515	MT1A	1.0	
DB00515	SOD1	1.0	
DB00515	CYP2C9	1.0	
DB00515	MPG	1.0	
DB00515	ABCG2	1.0	
DB00515	CYP4A11	1.0	
DB00515	ATOX1	1.0	
DB00515	GSTT1	1.0	
DB00515	MPO	1.0	
DB00515	ALB	1.0	
DB00515	GSTP1	1.0	
DB00515	SLC22A2	1.0	
DB00515	GSTM1	1.0	
DB00515	ABCC5	1.0	
DB00515	ABCC6	1.0	
DB00515	ABCC2	1.0	
DB00515	ABCC3	1.0	

