node1	node2	edge_score	
DB01142	SLC6A2	1.0	
DB01142	SLC6A4	1.0	
DB01142	CYP2D6	1.0	
DB01142	HRH4	1.0	
DB01142	ABCB1	1.0	
DB01142	HTR2A	1.0	
DB01142	HTR2C	1.0	
DB01142	HTR2B	1.0	
DB01142	ADRA1A	1.0	
DB01142	CHRM4	1.0	
DB01142	CHRM3	1.0	
DB01142	CHRM2	1.0	
DB01142	CHRM1	1.0	
DB01142	HTR6	1.0	
DB01142	HRH1	1.0	
DB01142	CYP3A4	1.0	
DB01142	ORM1	1.0	
DB01142	CYP2C9	1.0	
DB01142	CYP1A2	1.0	
DB01142	ADRA1B	1.0	
DB01142	ADRA1D	1.0	
DB01142	KCNH2	1.0	
DB01142	ALB	1.0	
DB01142	CYP2C19	1.0	
DB01142	HTR1A	1.0	

