Gene	CUI	Source Databases	
PTGS2	C0877008	Enzyme inhibition disorder	DisGeNet	
PTGS2	C1334811	Mucinous Neoplasm	DisGeNet	
PTGS1	C0024143	Lupus Nephritis	DisGeNet	
PTGS2	C0024143	Lupus Nephritis	DisGeNet	
PTGS2	C0031039	Pericardial effusion	DisGeNet	
PTGS2	C0155862	Streptococcal pneumonia	DisGeNet	
PTGS1	C0019151	Hepatic encephalopathy	DisGeNet	
PTGS2	C0035457	Rhinitis, Allergic, Perennial	DisGeNet	
PTGS2	C0409957	Osteoarthritis of distal interphalangeal joint	DisGeNet	
PTGS1	C0027430	Nasal polyposis	DisGeNet	
PTGS2	C0027430	Nasal polyposis	DisGeNet	
PTGS1	C0017152	Gastritis	DisGeNet	
PTGS2	C0017152	Gastritis	DisGeNet	
PTGS1	C0151514	Dermal atrophy	DisGeNet	
PTGS2	C0151514	Dermal atrophy	DisGeNet	
PTGS1	C0041582	Peptic Ulcer Hemorrhage	DisGeNet	
PTGS2	C0279565	Invasive Lobular Breast Carcinoma	DisGeNet	
PTGS2	C0011071	Sudden death	DisGeNet	
PTGS2	C0030201	Acute postoperative pain	DisGeNet	
PTGS2	C0036117	Salmonella infections	DisGeNet	
PTGS2	C0036429	Sclerosis	DisGeNet	
PTGS2	C0263746	Osteoarthritis of the hand	DisGeNet	
PTGS2	C0032273	Simple pneumoconiosis	DisGeNet	
PTGS2	C0085083	Ovarian hyperstimulation syndrome	DisGeNet	
PTGS2	C0268135	Xeroderma pigmentosum, group A	DisGeNet	
PTGS1	C0685938	Malignant gastrointestinal tract tumors	DisGeNet	
PTGS2	C0685938	Malignant gastrointestinal tract tumors	DisGeNet	
PTGS2	C0034155	Purpura, Thrombotic Thrombocytopenic	DisGeNet	
PTGS2	C0280280	Prostate cancer stage C	DisGeNet	
PTGS2	C0280785	Diffuse Astrocytoma	DisGeNet	
PTGS2	C0345893	Juvenile polyposis syndrome	DisGeNet	
PTGS2	C0677659	Gastro-esophageal reflux disease with esophagitis	DisGeNet	
PTGS2	C0917996	Cerebral aneurysm	DisGeNet	
PTGS2	C1333762	Gastric Cardia Adenocarcinoma	DisGeNet	
PTGS2	C0265962	Netherton syndrome	DisGeNet	
PTGS2	C0346627	Intestinal Cancer	DisGeNet	
PTGS2	C1518296	Neuropathogenesis	DisGeNet	
PTGS1	C1302401	Adenoma of large intestine	DisGeNet	
PTGS2	C1302401	Adenoma of large intestine	DisGeNet	
PTGS2	C0007121	Bronchogenic Carcinoma	DisGeNet	
PTGS2	C0040411	Neoplasm of the tongue	DisGeNet	
PTGS1	C3811653	Experimental Organism Basal Cell Carcinoma	DisGeNet	
PTGS2	C3811653	Experimental Organism Basal Cell Carcinoma	DisGeNet	
PTGS2	C0021818	Displacement of intervertebral disc	DisGeNet	
PTGS1	C0205225	Primary Sj�gren's syndrome	DisGeNet	
PTGS2	C0596321	Chemical Carcinogenesis	DisGeNet	
PTGS2	C0314719	Dryness of eye	DisGeNet	
PTGS2	C0001849	AIDS Dementia Complex	DisGeNet	
PTGS2	C0598894	Monocytic leukemia	DisGeNet	
PTGS2	C0040021	Thromboangiitis Obliterans	DisGeNet	
PTGS2	C0242510	Drug usage	DisGeNet	
PTGS2	C0013238	Dry Eye Syndromes	DisGeNet	
PTGS2	C0015674	Chronic Fatigue Syndrome	DisGeNet	
PTGS2	C0677055	CARCINOMA OF VULVA	DisGeNet	
PTGS1	C0032584	polyps	DisGeNet	
PTGS2	C0032584	polyps	DisGeNet	
PTGS1	C0149978	Rectal Carcinoma	DisGeNet	
PTGS2	C0149978	Rectal Carcinoma	DisGeNet	
PTGS2	C1260959	Drusen	DisGeNet	
PTGS2	C0242172	Pelvic inflammatory disease	DisGeNet	
PTGS2	C0740277	Bile duct cancer resectable	DisGeNet	
PTGS2	C0741899	Poorly differentiated carcinoma	DisGeNet	
PTGS2	C0016719	Friedreich's ataxia	DisGeNet	
PTGS2	C0032231	Pleuritis	DisGeNet	
PTGS1	C0850666	Helicobacter pylori infection	DisGeNet	
PTGS2	C0850666	Helicobacter pylori infection	DisGeNet	
PTGS2	C0085435	Arthritis, Reactive	DisGeNet	
PTGS2	C0085786	Idiopathic fibrosing alveolitis, chronic form	DisGeNet	
PTGS2	C0518014	Hematocrit level	DisGeNet	
PTGS1	C0279628	Adenocarcinoma Of Esophagus	DisGeNet	
PTGS2	C0279628	Adenocarcinoma Of Esophagus	DisGeNet	
PTGS2	C0005859	Bloom syndrome	DisGeNet	
PTGS2	C0153567	Uterine Cancer	DisGeNet	
PTGS1	C0035126	Reperfusion Injury	DisGeNet	
PTGS2	C0035126	Reperfusion Injury	DisGeNet	
PTGS1	C0024131	Lupus Vulgaris	DisGeNet	
PTGS2	C0024131	Lupus Vulgaris	DisGeNet	
PTGS2	C0014869	Peptic Esophagitis	DisGeNet	
PTGS2	C0023531	Leukoplakia	DisGeNet	
PTGS2	C0333873	Squamous intraepithelial lesion	DisGeNet	
PTGS2	C1378050	Oncocytic Neoplasm	DisGeNet	
PTGS2	C0014173	Endometrial Hyperplasia	DisGeNet	
PTGS1	C0024138	Discoid lupus erythematosus	DisGeNet	
PTGS2	C0024138	Discoid lupus erythematosus	DisGeNet	
PTGS1	C0948089	Acute Coronary Syndrome	DisGeNet	
PTGS2	C0948089	Acute Coronary Syndrome	DisGeNet	
PTGS2	C0341858	Endometriosis of uterus	DisGeNet	
PTGS2	C0796126	Aicardi Goutieres syndrome 1	DisGeNet	
PTGS2	C0334463	Malignant Fibrous Histiocytoma	DisGeNet	
PTGS1	C0432072	Dysmorphic features	DisGeNet	
PTGS2	C0234251	Inflammatory pain	DisGeNet	
PTGS2	C0280313	Oropharyngeal squamous cell carcinoma	DisGeNet	
PTGS2	C0751674	Lymphangiomyomatosis	DisGeNet	
PTGS1	C0018671	Head and Neck Neoplasms	DisGeNet	
PTGS2	C0018671	Head and Neck Neoplasms	DisGeNet	
PTGS1	C0020542	Pulmonary hypertension, neonatal, susceptibility to	DisGeNet	
PTGS2	C0020542	Pulmonary hypertension, neonatal, susceptibility to	DisGeNet	
PTGS2	C0029172	Oral Submucous Fibrosis	DisGeNet	
PTGS2	C0079218	Desmoid tumor	DisGeNet	
PTGS2	C0206692	Carcinoma, Lobular	DisGeNet	
PTGS2	C1569637	Adenocarcinoma, Endometrioid	DisGeNet	
PTGS1	C3272363	Ischemic Cerebrovascular Accident	DisGeNet	
PTGS2	C3272363	Ischemic Cerebrovascular Accident	DisGeNet	
PTGS2	C0013371	Shigella Infections	DisGeNet	
PTGS2	C0036205	Sarcoidosis, Pulmonary	DisGeNet	
PTGS2	C0041755	Adverse drug events and drug allergies	DisGeNet	
PTGS1	C1800706	Idiopathic Pulmonary Fibrosis	DisGeNet	
PTGS2	C1800706	Idiopathic Pulmonary Fibrosis	DisGeNet	
PTGS2	C0043352	Xerostomia	DisGeNet	
PTGS2	C0348374	Malignant neoplasm of the central nervous system	DisGeNet	
PTGS2	C0948216	Ovarian adenocarcinoma	DisGeNet	
PTGS2	C1301034	Pancreatic intraepithelial neoplasia	DisGeNet	
PTGS2	C0009241	Cognition Disorders	DisGeNet	
PTGS2	C0265325	Turcot syndrome	DisGeNet	
PTGS1	C0242966	Systemic Inflammatory Response Syndrome	DisGeNet	
PTGS2	C0016034	Breast Fibrocystic Disease	DisGeNet	
PTGS2	C1335177	Ovarian Serous Adenocarcinoma	DisGeNet	
PTGS2	C2986665	Early-Stage Breast Carcinoma	DisGeNet	
PTGS2	C0040137	Thyroid Nodule	DisGeNet	
PTGS2	C1510885	Angiogenic Switch	DisGeNet	
PTGS2	C0595936	Aqueous Humor Disorders	DisGeNet	
PTGS2	C2945759	aggressive cancer	DisGeNet	
PTGS2	C1955869	Malformation of cortical development	DisGeNet	
PTGS1	C0032914	Preeclampsia/eclampsia 1	DisGeNet	
PTGS2	C0032914	Preeclampsia/eclampsia 1	DisGeNet	
PTGS2	C0278484	Malignant neoplasm of colon stage IV	DisGeNet	
PTGS1	C0151526	Premature Birth	DisGeNet	
PTGS2	C0151526	Premature Birth	DisGeNet	
PTGS1	C0019159	Hepatitis	DisGeNet	
PTGS2	C0019159	Hepatitis	DisGeNet	
PTGS1	C0024115	Pulmonary Disease, Chronic Obstructive	DisGeNet	
PTGS2	C0024115	Pulmonary Disease, Chronic Obstructive	DisGeNet	
PTGS2	C0242488	Acute Lung Injury	DisGeNet	
PTGS2	C0206677	Adenomatous Polyps	DisGeNet	
PTGS2	C0872054	latent infection	DisGeNet	
PTGS1	C0014072	Experimental Autoimmune Encephalomyelitis	DisGeNet	
PTGS2	C0014072	Experimental Autoimmune Encephalomyelitis	DisGeNet	
PTGS1	C0019080	Bleeding with minor or no trauma	DisGeNet	
PTGS2	C0334108	Polyposis syndrome, mixed hereditary 1 (4)	DisGeNet	
PTGS2	C1511291	Breast Cancer Model	DisGeNet	
PTGS1	C0409974	{Systemic lupus erythematosus, susceptibility to, 8} (2)	DisGeNet	
PTGS2	C0409974	{Systemic lupus erythematosus, susceptibility to, 8} (2)	DisGeNet	
PTGS2	C0023532	Oral leukoplakia	DisGeNet	
PTGS2	C0032787	Postoperative Complications	DisGeNet	
PTGS2	C0269102	Endometrioma	DisGeNet	
PTGS2	C0342257	Complications of Diabetes Mellitus	DisGeNet	
PTGS1	C0032580	Familial adenomatous polyposis 1	DisGeNet	
PTGS2	C0032580	Familial adenomatous polyposis 1	DisGeNet	
PTGS2	C0027709	Nephrocalcinosis	DisGeNet	
PTGS1	C0948008	Ischemic stroke	DisGeNet	
PTGS2	C0948008	Ischemic stroke	DisGeNet	
PTGS2	C0034063	Pulmonary edema	DisGeNet	
PTGS2	C0085695	Chronic gastritis	DisGeNet	
PTGS2	C0949691	Spondylarthropathies	DisGeNet	
PTGS2	C0021843	Intestinal obstruction	DisGeNet	
PTGS2	C0036095	Salivary gland neoplasm	DisGeNet	
PTGS1	C0013182	Drug Allergy	DisGeNet	
PTGS2	C0025568	Metaplasia	DisGeNet	
PTGS2	C1318544	M5b Acute differentiated monocytic leukemia	DisGeNet	
PTGS2	C1559154	Rash and Dermatitis Adverse Event Associated with Chemoradiation	DisGeNet	
PTGS1	C0007786	Brain Ischemia	DisGeNet	
PTGS2	C0007786	Brain Ischemia	DisGeNet	
PTGS2	C0021079	IMMUNE SUPPRESSION	DisGeNet	
