node1	node2	edge_score	
DB00321	SLC6A2	1.0	
DB00321	SLC6A4	1.0	
DB00321	NTRK1	1.0	
DB00321	UGT1A1	1.0	
DB00321	KCNA1	1.0	
DB00321	CYP2D6	1.0	
DB00321	CYP2B6	1.0	
DB00321	ADRA2A	1.0	
DB00321	NTRK2	1.0	
DB00321	ABCB1	1.0	
DB00321	HTR2A	1.0	
DB00321	HTR2C	1.0	
DB00321	HRH1	1.0	
DB00321	ADRA1A	1.0	
DB00321	KCNQ2	1.0	
DB00321	KCNQ3	1.0	
DB00321	HTR6	1.0	
DB00321	HTR7	1.0	
DB00321	OPRM1	1.0	
DB00321	OPRK1	1.0	
DB00321	CYP3A4	1.0	
DB00321	CYP3A5	1.0	
DB00321	ORM1	1.0	
DB00321	CYP2C9	1.0	
DB00321	CYP2C8	1.0	
DB00321	CYP1A2	1.0	
DB00321	ADRA1B	1.0	
DB00321	ADRA1D	1.0	
DB00321	HRH4	1.0	
DB00321	ALB	1.0	
DB00321	SIGMAR1	1.0	
DB00321	CYP2C19	1.0	
DB00321	OPRD1	1.0	
DB00321	HTR1D	1.0	
DB00321	HTR1A	1.0	
DB00321	HTR1B	1.0	

