node1	node2	edge_score	
DB00755	LCN1	1.0	
DB00755	GPRC5A	1.0	
DB00755	ALDH1A1	1.0	
DB00755	ALDH1A2	1.0	
DB00755	RARA	1.0	
DB00755	RARB	1.0	
DB00755	CRABP1	1.0	
DB00755	RARG	1.0	
DB00755	NR0B1	1.0	
DB00755	CYP2B6	1.0	
DB00755	CYP26B1	1.0	
DB00755	PDK4	1.0	
DB00755	CYP1A1	1.0	
DB00755	RXRG	1.0	
DB00755	RXRA	1.0	
DB00755	RXRB	1.0	
DB00755	RBP4	1.0	
DB00755	CYP2A6	1.0	
DB00755	CYP3A4	1.0	
DB00755	CYP3A5	1.0	
DB00755	HPGDS	1.0	
DB00755	CYP2C9	1.0	
DB00755	CYP2C8	1.0	
DB00755	CYP4A11	1.0	
DB00755	CRABP2	1.0	
DB00755	ALB	1.0	
DB00755	CYP2C18	1.0	

