node1	node2	edge_score	
DB00829	PTGS1	1.0	
DB00829	GABRG3	1.0	
DB00829	GABRG2	1.0	
DB00829	GABRG1	1.0	
DB00829	GABRA1	1.0	
DB00829	GABRB2	1.0	
DB00829	GABRA3	1.0	
DB00829	GABRA2	1.0	
DB00829	CYP3A5	1.0	
DB00829	CYP2B6	1.0	
DB00829	ABCB1	1.0	
DB00829	GABRR1	1.0	
DB00829	GABRR2	1.0	
DB00829	GABRB1	1.0	
DB00829	CYP3A4	1.0	
DB00829	GABRB3	1.0	
DB00829	TSPO	1.0	
DB00829	CYP2C9	1.0	
DB00829	CYP2C8	1.0	
DB00829	ALB	1.0	
DB00829	GABRP	1.0	
DB00829	CYP2E1	1.0	
DB00829	GABRQ	1.0	
DB00829	CYP2C19	1.0	
DB00829	CYP2C18	1.0	
DB00829	GABRD	1.0	

