Gene	CUI	Source Databases	
GABBR1	C0001973	Alcohol dependence	DisGeNet	
GABBR1	C0002395	Alzheimer Disease	DisGeNet	
GABBR1	C0004352	Autism 15	DisGeNet	
GABBR1	C0004936	Mental disorders	DisGeNet	
GABBR1	C0011849	Diabetes Mellitus, Type 1	DisGeNet	
GABBR1	C0013473	Eating disorder	DisGeNet	
GABBR1	C0014038	Encephalitis	DisGeNet	
GABBR1	C0014544	Epilepsy	DisGeNet	
GABBR1	C0014553	Absence seizures	DisGeNet	
GABBR1	C0014556	Epilepsy, Temporal Lobe	DisGeNet	
GABBR1	C0017168	Gastroesophageal reflux	DisGeNet	
GABBR1	C0020538	Hypertension	DisGeNet	
GABBR1	C0024141	Lupus Erythematosus, Systemic	DisGeNet	
GABBR1	C0026769	Multiple Sclerosis	DisGeNet	
GABBR1	C0027404	Narcolepsy	DisGeNet	
GABBR1	C0027439	Nasopharyngeal Neoplasms	DisGeNet	
GABBR1	C0027796	Neuralgia	DisGeNet	
GABBR1	C0028043	Nicotine Dependence	DisGeNet	
GABBR1	C0028768	Obsessive-compulsive disorder	DisGeNet	
GABBR1	C0029421	Osteochondritis dissecans	DisGeNet	
GABBR1	C0030193	Pain	DisGeNet	
GABBR1	C0030297	Pancreatic Neoplasms	DisGeNet	
GABBR1	C0036341	Schizophrenia	DisGeNet	
GABBR1	C0036429	Sclerosis	DisGeNet	
GABBR1	C0036572	Seizures, Febrile	DisGeNet	
GABBR1	C0037315	Sleep apnea	DisGeNet	
GABBR1	C0040336	Tobacco Use Disorder	DisGeNet	
GABBR1	C0040822	Tremor, hereditary essential, 5	DisGeNet	
GABBR1	C0041696	Unipolar Depression	DisGeNet	
GABBR1	C0149925	Small cell lung cancer	DisGeNet	
GABBR1	C0233794	Memory impairment	DisGeNet	
GABBR1	C0235974	Pancreatic Carcinoma	DisGeNet	
GABBR1	C0236736	Cocaine-Related Disorders	DisGeNet	
GABBR1	C0270736	Essential tremor	DisGeNet	
GABBR1	C0270850	Idiopathic generalized epilepsy	DisGeNet	
GABBR1	C0270853	Juvenile myoclonic epilepsy	DisGeNet	
GABBR1	C0346647	Malignant neoplasm of pancreas	DisGeNet	
GABBR1	C0424295	Hyperactivity	DisGeNet	
GABBR1	C0476254	Dyslexia 1	DisGeNet	
GABBR1	C0520679	Obstructive sleep apnea	DisGeNet	
GABBR1	C0596263	Carcinogenesis	DisGeNet	
GABBR1	C1269683	Major depressive disorder	DisGeNet	
GABBR1	C1504404	Hippocampal sclerosis	DisGeNet	
GABBR1	C2931822	Nasopharyngeal carcinoma, susceptibility to, 3	DisGeNet	
