node1	node2	edge_score	
DB00035	AVPR1B	1.0	
DB00035	PTGS2	1.0	
DB00035	AVPR2	1.0	
DB00035	AVPR1A	1.0	
DB00035	PTGS1	1.0	
PTGS2	rs12042763	0.99
PTGS2	rs5275	0.99
PTGS2	rs4648287	0.99
PTGS1	rs10306135	0.99
PTGS1		1.0
PTGS2	rs20417	0.99
PTGS1	rs1330344	0.99
PTGS2		1.0
PTGS1	rs10306114	0.99
gastritis h pylori	PTGS1	1.0	
gastritis h pylori	PTGS2	1.0	
Creutzfeldt-Jakob Disease, Sporadic	PTGS1	1.0	
Creutzfeldt-Jakob Disease, Sporadic	PTGS2	1.0	
keratoacanthoma	PTGS1	1.0	
keratoacanthoma	PTGS2	1.0	
Rotavirus Infections	PTGS1	1.0	
Rotavirus Infections	PTGS2	1.0	
Anaphylactic shock NOS	PTGS1	1.0	
Anaphylactic shock NOS	PTGS2	1.0	
Stomach Diseases	PTGS1	1.0	
Stomach Diseases	PTGS2	1.0	
Renovascular hypertension	PTGS1	1.0	
Renovascular hypertension	PTGS2	1.0	
Neuritis	PTGS1	1.0	
Neuritis	PTGS2	1.0	
Cervical Adenocarcinoma	PTGS1	1.0	
Cervical Adenocarcinoma	PTGS2	1.0	
Dyspepsia	PTGS1	1.0	
Dyspepsia	PTGS2	1.0	
Medullary carcinoma	PTGS1	1.0	
Medullary carcinoma	PTGS2	1.0	
Colonic Polyps	PTGS1	1.0	
Colonic Polyps	PTGS2	1.0	
Esophagitis	PTGS1	1.0	
Esophagitis	PTGS2	1.0	
Idiopathic Inflammatory Myopathies	PTGS1	1.0	
Idiopathic Inflammatory Myopathies	PTGS2	1.0	
Cytochrome-c oxidase deficiency	PTGS1	1.0	
Cytochrome-c oxidase deficiency	PTGS2	1.0	
gliosarcoma	PTGS1	1.0	
gliosarcoma	PTGS2	1.0	
Colorectal polyposis	PTGS1	1.0	
Colorectal polyposis	PTGS2	1.0	
Peutz-Jeghers syndrome	PTGS1	1.0	
Peutz-Jeghers syndrome	PTGS2	1.0	
Duodenal Ulcer	PTGS1	1.0	
Duodenal Ulcer	PTGS2	1.0	
Adult type dermatomyositis	PTGS1	1.0	
Adult type dermatomyositis	PTGS2	1.0	
Intestinal polyp	PTGS1	1.0	
Intestinal polyp	PTGS2	1.0	
Urinary tract infection	PTGS1	1.0	
Urinary tract infection	PTGS2	1.0	
Creutzfeldt-Jakob Syndrome	PTGS1	1.0	
Creutzfeldt-Jakob Syndrome	PTGS2	1.0	
Hyperplastic Polyp	PTGS1	1.0	
Hyperplastic Polyp	PTGS2	1.0	
Polymyositis	PTGS1	1.0	
Polymyositis	PTGS2	1.0	
Intraocular pressure disorder	PTGS1	1.0	
Intraocular pressure disorder	PTGS2	1.0	
Hamartoma	PTGS1	1.0	
Hamartoma	PTGS2	1.0	
Helicobacter Infections	PTGS1	1.0	
Helicobacter Infections	PTGS2	1.0	
Dermatomyositis	PTGS1	1.0	
Dermatomyositis	PTGS2	1.0	
Ovarian cyst	PTGS1	1.0	
Ovarian cyst	PTGS2	1.0	
Gastric ulcer	PTGS1	1.0	
Gastric ulcer	PTGS2	1.0	
Peptic ulcer	PTGS1	1.0	
Peptic ulcer	PTGS2	1.0	
Musculoskeletal Diseases	PTGS1	1.0	
Musculoskeletal Diseases	PTGS2	1.0	
Pregnancy Complications, Hematologic	PTGS1	1.0	
Pregnancy Complications, Hematologic	PTGS2	1.0	
Myositis	PTGS1	1.0	
Myositis	PTGS2	1.0	
Lyme Disease	PTGS1	1.0	
Lyme Disease	PTGS2	1.0	
Arthropathy	PTGS1	1.0	
Arthropathy	PTGS2	1.0	
Polycystic kidney disease, autosomal dominant	PTGS1	1.0	
Polycystic kidney disease, autosomal dominant	PTGS2	1.0	
