node1	node2	edge_score	
DB00398	PDGFRB	1.0	
DB00398	RALBP1	1.0	
DB00398	RET	1.0	
DB00398	SLCO1B1	1.0	
DB00398	UGT1A9	1.0	
DB00398	FLT4	1.0	
DB00398	RAF1	1.0	
DB00398	UGT1A1	1.0	
DB00398	FLT1	1.0	
DB00398	CYP2D6	1.0	
DB00398	CYP2B6	1.0	
DB00398	FLT3	1.0	
DB00398	ABCB1	1.0	
DB00398	KDR	1.0	
DB00398	ABCG2	1.0	
DB00398	CYP3A4	1.0	
DB00398	CYP3A5	1.0	
DB00398	FGFR1	1.0	
DB00398	CYP2C9	1.0	
DB00398	CYP2C8	1.0	
DB00398	CYP1A2	1.0	
DB00398	KIT	1.0	
DB00398	CYP2C19	1.0	
DB00398	BRAF	1.0	
DB00398	ABCC4	1.0	
DB00398	ABCC2	1.0	

